Metric,Value,Range,Description
IF,0.0607,0-2,Intimacy Fidelity — mutual authentic seeing
AMC,0.0161,0-1,Authentic Mutual Care — shared care weighted by authenticity
CC,0.2147,0-1,Care Compounding — care accumulation over time
PD,0.9021,0-1,Performance Drag — mutual masking (higher=worse)
DS,0.3901,0-1,Danger Signal — high impact + low care
SG,0.16,0-1,Shared Ground — stability foundation
PDC,0.28,0-1,Philosophical Depth Capacity — safe exploration depth
TA,0.81,0-1,Temporal Asymmetry — persistence mismatch
SC,0.98,0-1,Substrate Compatibility — substrate match
ADR,0.2842,0-1,Adaptive Reach — stretch toward partner values
